id,name,english,deutsch,idphoto,Use
AbuDhabi,Abu Dhabi,"Abu Dhabi is a juvenile female that is a bit of a loner. Both she and her mother, Kwilu, have lovely big and very round eyes. She is a middle child. Her older brother is Kuwait and her youngest is Guagua.","Abu Dhabi ist ein junges Weibchen, das ein bisschen eine Einzelgängerin ist. Sowohl sie als auch ihre Mutter, Kwilu, haben schöne große und sehr runde Augen. Sie ist ein mittleres Kind. Ihr älterer Bruder ist Kuwait und ihr jüngster ist Guagua.",Abu_Dhabi_4.JPG,yes
Amsterdam,Amsterdam,"Amsterdam is one of the oldest males in all our study groups, but he recently dissapeared from his group and we have not seem him since then. He was sometimes grumpy towards the youngest monkeys and preferred to nap and eat by himself more than to spend time with other group members.","Amsterdam ist eines der ältesten Männchen in allen unseren Studiengruppen, aber er ist vor kurzem aus seiner Gruppe verschwunden und wir haben ihn seitdem nicht mehr gesehen. Er war manchmal mürrisch gegenüber den jüngsten Affen und zog es vor, ein Nickerchen zu machen und allein zu essen, anstatt Zeit mit anderen Gruppenmitgliedern zu verbringen.",Amsterdam_4.JPG,yes
Bonobo,Bonobo,"Bonobo is an adult male, father of the current alpha in his group. He has a high-status position in the group and only occasionally gets involved in big conflicts. Though he is slightly biased towards the male infants, he is a good and nice grandpa to most of the young ones in the group, therefore he is commonly found surrounded by most babies in the group.","Bonobo ist ein erwachsenes Männchen, der Vater des derzeitigen Alphatiers seiner Gruppe. Er hat einen hohen Status in der Gruppe und wird nur gelegentlich in große Konflikte verwickelt. Obwohl er den männlichen Jungtieren gegenüber etwas voreingenommen ist, ist er ein guter und netter Großvater für die meisten Jungtiere in der Gruppe, weshalb er häufig von den meisten Babys in der Gruppe umgeben ist.",Bonobo_4.JPG,yes
Eiffel,Eiffel,Eiffel is a juvenile male that is incredibly independent. He likes to spend a lot time exploring and prefers to interact with older individuals more than with juveniles of his own age. He is a very good forager and prefers when others follow his lead. He might be small in size but he never backs out at the sight of danger.,"Eiffel ist ein jugendliches Männchen, das unglaublich unabhängig ist. Er verbringt gerne viel Zeit mit Erkundungen und zieht es vor, mit älteren Tieren zu interagieren als mit Gleichaltrigen  Er ist ein sehr guter Futtersammler und zieht es vor, wenn andere ihm folgen. Er mag zwar klein sein, aber beim Anblick von Gefahr schreckt er nicht zurück.",Eiffel_4.JPG,yes
Hinhoi,Hinhoi,"Hinhoi is the son of Thakathen, a determined alpha female. He is full of charisma, which often makes him the center of attention for the group","Hinhoi ist der Sohn von Thakathen, einem entschlossenen Alphaweibchen. Er ist voller Charisma, was ihn oft in den Mittelpunkt der Gruppe stellt.",hinhoi.JPG,yes
Feliz,Feliz,,,Feliz_DSC_0529.JPG,no
Frodo,Frodo,"Frodo is named after the main character in the Lord of the Rings by J.R.R. Tolkien. And just like Frodo from the novels, our Frodo is a true explorer. He frequently goes on little adventures to find a new group to settle down with.","Frodo ist nach der Hauptfigur im Herrn der Ringe von J.R.R. Tolkien benannt. Und genau wie Frodo aus den Romanen ist unser Frodo ein echter Entdecker. Er geht häufig auf kleine Abenteuer, um eine neue Gruppe zu finden, bei der er sich niederlassen kann.",Frodo_7.JPG,yes
Hermiony,Hermiony,Hermiony is a juvenile female with the biggest bushy eyebrows you could ever encounter among Assamese macaques. She is a good groomer and will spend long sessions making sure the fur from her group members gets extra clean.,"Hermiony ist ein junges Weibchen mit den größten buschigen Augenbrauen, die man unter den Assamese-Makaken finden kann. Sie ist eine gute Fellpflegerin und verbringt lange Sitzungen damit, das Fell ihrer Gruppenmitglieder besonders sauber zu machen.",Hermiony_12.JPG,yes
Kuwait,Kuwait,"Kuwait is one of the most caring brothers you will come across when studying young macaques. He has two sisters and one brother, and he always makes sure they are well groomed - especially his youngest brother Guagua. Whenever Guagua is around, Kuwait will stop whatever he is doing to check if little Guagua requires an intense grooming session.","Kuwait ist einer der fürsorglichsten Brüder, denen man bei der Untersuchung junger Makaken begegnen kann. Er hat zwei Schwestern und einen Bruder, und er achtet immer darauf, dass sie gut gepflegt sind – besonders sein jüngster Bruder Guagua. Wann immer Guagua in der Nähe ist, unterbricht Kuwait seine Arbeit, um nachzusehen, ob der kleine Guagua eine intensive Fellpflege braucht.",Kuwait.JPG,yes
Lebron,Lebron,"Lebron is a juvenile male who is frequently found in the middle of a group of females. He spends more time interacting with female juveniles than his male counterparts, with Audrey being one of his favorite interaction partners.","Lebron ist ein männliches Jungtier, das sich häufig inmitten einer Gruppe von Weibchen aufhält. Er verbringt mehr Zeit mit weiblichen Jungtieren als mit seinen männlichen Artgenossen, wobei Audrey eine seiner bevorzugten Interaktionspartnerinnen ist.",Lebron_17.JPG,yes
Lluvia,Lluvia,"Lluvia has a very stoic attitude. Despite usually being close to his mother, his prominent eyebrows and wrinkled face give him a confident and secure appearance","Lluvia hat eine sehr stoische Haltung. Obwohl er sich meist in der Nähe seiner Mutter aufhält, verleihen ihm seine markanten Augenbrauen und sein faltiges Gesicht ein selbstbewusstes und sicheres Auftreten",Lluvia_DSC_0111.JPG,yes
NewYear,New Year,"New Year is a very blonde infant macaque with enormous eyes. Unlike other female infants, she loves to hang out with adult males","New Year ist ein sehr blondes Makakenkind mit riesigen Augen. Im Gegensatz zu anderen weiblichen Säuglingen liebt sie es, mit erwachsenen Männchen herumzuhängen",NewYearDSC_0957.JPG,yes
Pipa,Pipa,,,PipaDSC_0849.JPG,no
Pastel,Pastel,"Pastel is an incredibly resilient juvenile female. She had a problem with her spine and back legs for several days when she was around 6 months of age. She could not walk and relied solely on her arms to move around the trees. The determination she showed at such an early age was incredible. She is now able to walk, jump and run normally again. Do not let her tiny size fool you, she might be very small but her inner strength is enormous.","Pastel ist ein unglaublich widerstandsfähiges junges Weibchen. Als sie etwa 6 Monate alt war, hatte sie mehrere Tage lang ein Problem mit ihrer Wirbelsäule und ihren Hinterbeinen. Sie konnte nicht laufen und verließ sich ausschließlich auf ihre Arme, um sich zwischen den Bäumen fortzubewegen. Die Entschlossenheit, die sie in einem so jungen Alter zeigte, war unglaublich. Jetzt kann sie wieder normal gehen, springen und laufen. Lassen Sie sich nicht von ihrer winzigen Größe täuschen, sie ist zwar sehr klein, aber ihre innere Stärke ist enorm.",pastelDSC_0158.JPG,yes
Peru,Peru,"Peru is a very social juvenile male. He likes to interact with everyone inside the group, younger, older, males, females, it does not matter - for Peru everyone counts as a potential social partner. He always likes to be in the middle of the action.","Peru ist ein sehr soziales jugendliches Männchen. Er interagiert gerne mit jedem in der Gruppe, egal ob jünger, älter, männlich oder weiblich – für Peru ist jede*r ein*e potentielle*r Sozialpartner*in. Er ist immer gerne mittendrin im Geschehen.",Peru.JPG,yes
Truman,Truman,"Truman is an older adult male of around 20 years. He has experienced a lot throughout his life. During his prime years he was the alpha male of his group and later he became one of the side kicks of the next alpha male. The characteristic scar over his nose was earned during a battle for a higher rank position, which unfortunately he lost.","Truman ist ein älterer erwachsener Mann von etwa 20 Jahren. Er hat in seinem Leben schon viel erlebt. In seinen besten Jahren war er das Alphamännchen seiner Gruppe und später wurde er zu einem der Sidekicks des nächsten Alphamännchens. Die charakteristische Narbe über seiner Nase stammt aus einem Kampf um einen höheren Rang, den er leider verlor.",TrumanDSC_0457.JPG,yes
Wasabi,Wasabi,Wasabi is a very curious and playful female infant macaque. Her pink face and fluffy hair make her irresistibly charming and easily distinguishable,Wasabi ist ein sehr neugieriges und verspieltes weibliches Makakenbaby. Ihr rosa Gesicht und ihr flauschiges Haar machen sie unwiderstehlich charmant und leicht zu erkennen,wasabiDSC_0923.JPG,yes
Yolo,Yolo,"Yolo is a spoiled male infant. While others play, he is usually whining to get his mom's attention.","Yolo ist ein verwöhntes männliches Kleinkind. Während andere spielen, jammert er in der Regel, um die Aufmerksamkeit seiner Mutter zu bekommen.",yoloDSC_0647.JPG,yes
